depression_probability,anxiety_probability
0.568591,0.637646
0.688041,0.786392
0.440791,0.438094
0.542037,0.656527
0.306826,0.374626
0.63178,0.59944
0.575399,0.640714
0.443526,0.504579
0.413087,0.466149
0.546604,0.501673
0.404869,0.52869
0.787926,0.876286
0.533045,0.70642
0.427196,0.495465
0.335981,0.335529
0.536919,0.620925
0.236551,0.310115
0.384083,0.395986
0.524978,0.620787
0.441119,0.595606
0.426544,0.521743
0.43691,0.488643
0.280431,0.355068
0.395895,0.458203
0.488806,0.556646
0.481983,0.500584
0.36549,0.489599
0.31651,0.437637
0.274729,0.452119
0.477508,0.602795
0.218888,0.297255
0.646929,0.641936
0.104409,0.145052
0.57463,0.578816
0.482906,0.50629
0.547329,0.681668
0.345509,0.425314
0.59681,0.697746
0.627439,0.734488
0.472122,0.592481
0.373815,0.579313
0.219704,0.35012
0.398374,0.486332
0.617196,0.720258
0.568102,0.675516
0.473498,0.478369
0.580381,0.519904
0.348606,0.455751
0.625755,0.778234
0.538802,0.676724
0.588,0.647734
0.282812,0.204796
0.375988,0.45462
0.502282,0.558168
0.600414,0.785309
0.615577,0.755342
0.726199,0.705531
0.484684,0.498881
0.666353,0.730461
0.54827,0.503661
0.25606,0.272404
0.418535,0.66385
0.633244,0.740757
0.505896,0.575154
0.503225,0.593169
0.580952,0.622787
0.465577,0.548363
0.644869,0.767714
0.467842,0.538386
0.191665,0.224205
0.597066,0.54922
0.521196,0.643034
0.55327,0.635842
0.262447,0.417184
0.492258,0.653193
0.38037,0.458112
0.27898,0.442892
0.438074,0.505114
0.294315,0.308112
0.55053,0.556599
0.349531,0.317787
0.319889,0.316323
0.603759,0.697862
0.488033,0.570194
0.460504,0.534928
0.406922,0.522482
0.484242,0.708617
0.296407,0.365171
0.219805,0.285002
0.583331,0.744276
0.419676,0.381488
0.221678,0.336819
0.343986,0.438381
0.42506,0.418564
0.490214,0.644215
0.592086,0.595208
0.577515,0.602836
0.495083,0.578177
0.486919,0.606151
0.655014,0.599912
0.704758,0.817219
0.450407,0.557551
0.544575,0.599172
0.397773,0.418852
0.364657,0.451224
0.454478,0.559721
0.332735,0.555398
0.405878,0.547543
0.402541,0.554165
0.311646,0.438548
0.471058,0.512476
0.549682,0.5229
0.376371,0.473619
0.422149,0.545442
0.574938,0.655622
0.366439,0.38108
0.721653,0.846816
0.27493,0.400064
0.758563,0.856016
0.509554,0.477534
0.574615,0.585749
0.293318,0.308922
0.489129,0.448997
0.435104,0.577179
0.222235,0.338208
0.548566,0.54101
0.378804,0.438985
0.415781,0.537223
0.429675,0.568331
0.274959,0.328246
0.493702,0.465525
0.515712,0.633518
0.296108,0.268774
0.486878,0.544778
0.482873,0.5887
0.545342,0.641068
0.418532,0.55296
0.588543,0.622172
0.247757,0.302071
0.501844,0.666233
0.555229,0.588879
0.663697,0.702846
0.501019,0.438434
0.60676,0.711884
0.293808,0.444219
0.370201,0.374174
0.56236,0.599849
0.445424,0.395901
0.465892,0.462057
0.284027,0.299007
0.588429,0.645168
0.44443,0.499452
0.405956,0.418178
0.503439,0.502899
0.560215,0.646522
0.437913,0.493385
0.62629,0.717646
0.676769,0.681567
0.63505,0.638386
0.41349,0.383621
0.44002,0.511497
0.438731,0.438056
0.266899,0.288991
0.67265,0.5384
0.483498,0.61354
0.427834,0.462697
0.875952,0.869439
0.357862,0.490878
0.602644,0.572677
0.272266,0.274469
0.209724,0.246907
0.510553,0.55409
0.342704,0.558716
0.437253,0.576241
0.512521,0.650264
0.561166,0.607028
0.338642,0.348339
0.580601,0.608284
0.350328,0.466903
0.495272,0.47442
0.529324,0.564602
0.23232,0.227648
0.592616,0.645718
0.327928,0.510586
0.488663,0.48545
0.676549,0.824604
0.315324,0.391981
0.390369,0.494687
0.592586,0.600783
0.663065,0.739408
0.318611,0.373838
0.392813,0.398097
0.540815,0.671833
0.790453,0.756355
0.397792,0.535287
0.486391,0.645165
0.282581,0.378128
0.338204,0.394441
0.619387,0.727485
0.359189,0.402746
0.473197,0.527473
0.55766,0.665198
0.212542,0.449682
0.59195,0.660527
0.382179,0.433824
0.301384,0.398407
0.625479,0.628362
0.538153,0.604368
0.463718,0.521476
0.488961,0.602754
0.557205,0.587184
0.437098,0.549184
0.471262,0.557182
0.491895,0.655523
0.239684,0.234858
0.277256,0.307712
0.232104,0.27011
0.290026,0.304644
0.580245,0.678007
0.554957,0.590529
0.521609,0.660929
0.263,0.331913
0.800294,0.947341
0.581051,0.653811
0.410961,0.527195
0.621918,0.61459
0.447118,0.525952
0.427903,0.522227
0.246325,0.273893
0.557236,0.622998
0.792222,0.842993
0.401097,0.504931
0.726444,0.719118
0.561162,0.71903
0.404684,0.519772
0.39902,0.473659
0.518516,0.547787
0.431097,0.403069
0.512905,0.515878
0.588116,0.684818
0.481272,0.628589
0.60077,0.706079
0.327155,0.388595
0.313248,0.529212
0.8212,0.931926
0.329855,0.375207
0.479301,0.609362
0.561067,0.546946
0.238721,0.367419
0.683541,0.742827
0.524399,0.641046
0.413912,0.456506
0.510093,0.530943
0.342307,0.391475
0.317366,0.374468
0.36332,0.424554
0.486183,0.595775
0.466377,0.546437
0.563962,0.59118
0.652516,0.782434
0.586817,0.559223
0.567608,0.599869
0.42926,0.491766
0.338533,0.405172
0.698547,0.575885
0.66535,0.701157
0.659307,0.735704
0.526484,0.461376
0.376036,0.433706
0.555094,0.680628
0.412028,0.570712
0.50527,0.628145
0.630769,0.633725
0.539008,0.615421
0.322078,0.401731
0.620482,0.709742
0.434705,0.464504
0.458634,0.578826
0.496502,0.533996
0.589626,0.693309
0.440073,0.51113
0.526604,0.61983
0.501671,0.504522
0.4785,0.371743
0.388798,0.588093
0.36544,0.446835
0.504262,0.533027
0.38661,0.564232
0.400725,0.441714
0.589855,0.703159
0.453572,0.401997
0.421345,0.514915
0.433356,0.532324
0.491227,0.598782
0.420081,0.468979
0.25837,0.35617
0.512819,0.615029
0.262829,0.294018
0.370902,0.523767
0.479582,0.572594
0.489778,0.510499
0.447888,0.528116
0.470507,0.575693
0.588806,0.637357
0.3406,0.400955
0.380938,0.476938
0.414777,0.421969
0.591574,0.648749
0.43719,0.471959
0.286751,0.421519
0.338045,0.331989
0.623511,0.668948
0.369195,0.394027
0.329441,0.386197
0.423507,0.456075
0.573396,0.626863
0.434929,0.504116
0.493279,0.569789
0.521499,0.549474
0.485735,0.557133
0.318679,0.457579
0.411267,0.353984
0.522405,0.586394
0.338311,0.290554
0.441273,0.468098
0.681083,0.642956
0.562818,0.507715
0.434116,0.457007
0.204668,0.262108
0.315587,0.321059
0.623779,0.661725
0.529461,0.655968
0.48151,0.653407
0.422108,0.536428
0.306906,0.429668
0.562852,0.509249
0.28731,0.524577
0.57887,0.575828
0.362708,0.453105
0.413081,0.535108
0.590463,0.766084
0.543727,0.537747
0.321304,0.430854
0.675993,0.692636
0.147948,0.189453
0.128455,0.217339
0.669498,0.583087
0.486512,0.508667
0.634519,0.643258
0.364805,0.542104
0.220672,0.331086
0.3757,0.421491
0.350226,0.3609
0.438908,0.557178
0.351601,0.423716
0.545975,0.601591
0.315644,0.414037
0.49488,0.533397
0.446602,0.4732
0.425499,0.54614
0.372287,0.46324
0.631352,0.682244
0.341358,0.488263
0.546227,0.651484
0.499005,0.68061
0.565998,0.652293
0.680559,0.728859
0.326604,0.460149
0.467173,0.535911
0.594761,0.652865
0.277563,0.417824
0.621357,0.659447
0.612928,0.65042
0.276414,0.448811
0.58341,0.572049
0.550164,0.673893
0.530562,0.620214
0.525355,0.559222
0.54025,0.698756
0.296799,0.363105
0.474286,0.539496
0.729746,0.818113
0.661589,0.693913
0.669695,0.67953
0.461845,0.466768
0.438887,0.509758
0.401443,0.552192
0.432128,0.446973
0.391394,0.427135
0.303861,0.35383
0.331639,0.433996
0.521217,0.554136
0.569502,0.729732
0.508582,0.602089
0.405151,0.5236
0.667876,0.679003
0.361285,0.530784
0.471836,0.580354
0.300858,0.38613
0.385307,0.364237
0.519853,0.64714
0.52538,0.662753
0.368931,0.432889
0.362667,0.491483
0.312517,0.369925
0.357263,0.318312
0.287828,0.356232
0.296205,0.424138
0.488052,0.592108
0.53317,0.520315
0.306828,0.380486
0.47356,0.511867
0.414893,0.434534
0.344235,0.348456
0.513381,0.512619
0.442398,0.487826
0.393923,0.573594
0.295275,0.29044
0.662867,0.61055
0.476872,0.421801
0.411803,0.442139
0.56628,0.659247
0.47913,0.528962
0.506202,0.52648
0.607094,0.615809
0.363099,0.408588
0.453676,0.57969
0.540212,0.618299
0.301126,0.428903
0.412303,0.374476
0.365977,0.499618
0.585022,0.663802
0.319654,0.375657
0.381912,0.561975
0.655533,0.643055
0.483227,0.641629
0.417911,0.497862
0.488046,0.516802
0.430861,0.5467
0.506499,0.615928
0.584435,0.671908
0.363974,0.504783
0.698862,0.712813
0.367631,0.571278
0.303591,0.25705
0.479293,0.553473
0.459743,0.443688
0.513926,0.574233
0.583148,0.703129
0.574366,0.588224
0.233658,0.25353
0.524349,0.580276
0.391243,0.49029
0.549095,0.602531
0.55555,0.601765
0.42132,0.475012
0.71247,0.719706
0.49846,0.568084
0.456257,0.440648
0.67352,0.762798
0.451434,0.463647
0.286753,0.350293
0.36011,0.493617
0.597354,0.581803
0.376879,0.417237
0.614825,0.633804
0.282283,0.363791
0.422525,0.546621
0.501493,0.557399
0.375964,0.531078
0.672412,0.828832
0.530311,0.598226
0.349571,0.439915
0.416867,0.390271
0.649312,0.573547
0.399342,0.481965
0.630554,0.632449
0.206967,0.323706
0.739131,0.744689
0.32286,0.367857
0.494493,0.41911
0.374305,0.493731
0.396305,0.436755
0.524995,0.600264
0.339944,0.371323
0.511949,0.465043
0.434563,0.561365
0.245974,0.37396
0.27893,0.40585
0.53246,0.713971
0.46751,0.536786
0.528303,0.607935
0.3333,0.527278
0.465697,0.468321
0.450989,0.49437
0.382614,0.406788
0.649373,0.72502
0.471366,0.526473
0.480283,0.596314
0.537097,0.630233
0.512642,0.667422
